<<MagicLearning[Model:defaultModel]>>;EN;ES;FR;
10	Enlaces;0.0;1.0;-1.0;
10	External;1.0;0.0;-1.0;
10.;0.0;0.0;0.0;
10.1	Biographie;0.0;0.0;0.0;
10.2	Philosophie;0.0;0.0;0.0;
10.3	Études;0.0;0.0;0.0;
10.3.1	Ouvrages;0.0;0.0;0.0;
10.3.2	Sur;0.0;0.0;0.0;
10.3.3	Éthique;0.0;0.0;0.0;
10.4	Livres-audio;0.0;0.0;0.0;
10.5	Articles;0.0;0.0;0.0;
10.6	Liens;0.0;0.0;0.0;
10.6.1	Papyri;0.0;0.0;0.0;
10.6.2	Éditions;0.0;0.0;0.0;
10.6.3	Bibliographie;0.0;0.0;0.0;
10.6.4	Répertoires;0.0;0.0;0.0;
10.6.5	Articles;0.0;0.0;0.0;
10.6.6	Notices;0.0;0.0;0.0;
1025;0.0;0.0;0.0;
11.;0.0;0.0;0.0;
110;0.0;0.0;0.0;
1100;0.0;0.0;0.0;
118.;0.0;0.0;0.0;
12.;0.0;0.0;0.0;
120);0.0;0.0;0.0;
1260);0.0;0.0;0.0;
128.;0.0;0.0;0.0;
129.;0.0;0.0;0.0;
131.;0.0;0.0;0.0;
14.;0.0;0.0;0.0;
1438;0.0;0.0;0.0;
1453;0.0;0.0;0.0;
1484;0.0;0.0;0.0;
15.;0.0;0.0;0.0;
155.;0.0;0.0;0.0;
156a).;0.0;0.0;0.0;
1578;0.0;0.0;0.0;
16th-century;0.0;0.0;0.0;
1807;0.0;0.0;0.0;
1809.[123];0.0;0.0;0.0;
1873);0.0;0.0;0.0;
19.;0.0;0.0;0.0;
1900-1907;0.0;0.0;0.0;
1908);0.0;0.0;0.0;
1929).;0.0;0.0;0.0;
1930.[86];0.0;0.0;0.0;
1950;-1.0;0.0;1.0;
1987;0.0;0.0;0.0;
1993.[136][137];0.0;0.0;0.0;
1995;0.0;0.0;0.0;
1997;0.0;0.0;0.0;
19th;0.0;0.0;0.0;
1°;0.0;0.0;0.0;
2	Intellectual;1.0;-1.0;0.0;
2	Obra;0.0;1.0;-1.0;
2	Sources;0.0;0.0;0.0;
2.1	Pythagoras;1.0;0.0;-1.0;
2.1	Pythagore;0.0;0.0;0.0;
2.1	Temas;0.0;1.0;-1.0;
2.1.1	La;0.0;0.0;0.0;
2.1.2	El;0.0;0.0;0.0;
2.1.3	Derechos;0.0;0.0;0.0;
2.2	Estilo;0.0;1.0;-1.0;
2.2	Heraclitus;0.0;0.0;0.0;
2.2	Parménide;0.0;0.0;0.0;
2.3	Hérodote;0.0;0.0;0.0;
2.3	Socrates;1.0;0.0;-1.0;
2.4	Socrate;0.0;0.0;0.0;
20.;0.0;0.0;0.0;
2003;0.0;0.0;0.0;
2013.;0.0;1.0;-1.0;
201c–d).;0.0;0.0;0.0;
21);0.0;0.0;0.0;
21.;0.0;0.0;0.0;
210a–b).[66];0.0;0.0;0.0;
213a;0.0;0.0;0.0;
22.;0.0;0.0;0.0;
23.;0.0;0.0;0.0;
24.;0.0;0.0;0.0;
250;0.0;0.0;0.0;
250-251;0.0;0.0;0.0;
26.;0.0;0.0;0.0;
27.;0.0;0.0;0.0;
275d;0.0;0.0;0.0;
28c;0.0;0.0;0.0;
2°;0.0;0.0;0.0;
3	Contexte;0.0;0.0;0.0;
3	Filosofía;0.0;1.0;-1.0;
3	Philosophy;1.0;0.0;-1.0;
3.1	Contexte;0.0;0.0;0.0;
3.1	Recurrent;0.0;0.0;0.0;
3.1	Teología;0.0;1.0;-1.0;
3.2	Les;-1.0;0.0;1.0;
3.2	Metaphysics;1.0;0.0;-1.0;
3.2	Ontología;0.0;0.0;0.0;
3.3	Epistemología;0.0;1.0;-1.0;
3.3	La;0.0;0.0;0.0;
3.3	Theory;0.0;0.0;0.0;
3.37).;0.0;0.0;0.0;
3.4	Epistemology;1.0;0.0;-1.0;
3.4	Filosofía;0.0;1.0;-1.0;
3.4	Mythe;0.0;0.0;0.0;
3.403b);0.0;0.0;0.0;
3.5	Cosmología;0.0;1.0;-1.0;
3.5	L'allégorie;0.0;0.0;0.0;
3.5	The;1.0;0.0;-1.0;
3.6	Unwritten;1.0;0.0;-1.0;
3.7	Dialectic;1.0;0.0;-1.0;
30);0.0;0.0;0.0;
30.;0.0;0.0;0.0;
31.;0.0;0.0;0.0;
32.;0.0;0.0;0.0;
32–33;0.0;0.0;0.0;
33.;0.0;-1.0;1.0;
34.;0.0;0.0;0.0;
347;0.0;0.0;0.0;
348/347;0.0;0.0;0.0;
350;0.0;0.0;0.0;
356;0.0;0.0;0.0;
358;0.0;0.0;0.0;
367;0.0;0.0;0.0;
369c–372d;0.0;0.0;0.0;
37.;0.0;0.0;0.0;
370;0.0;0.0;0.0;
372e).;0.0;0.0;0.0;
38.;0.0;0.0;0.0;
385;0.0;0.0;0.0;
387;0.0;1.0;-1.0;
39);0.0;0.0;0.0;
399;0.0;0.0;0.0;
3°;0.0;0.0;0.0;
4	Dialogues;1.0;0.0;-1.0;
4	Influencia;0.0;1.0;-1.0;
4	La;0.0;0.0;0.0;
4.1	Monde;0.0;0.0;0.0;
4.1	Writings;0.0;0.0;0.0;
4.1.1	Spurious;0.0;0.0;0.0;
4.2	Composition;0.0;0.0;0.0;
4.2	Les;0.0;0.0;0.0;
4.3	Degrés;0.0;0.0;0.0;
4.3	Narration;0.0;0.0;0.0;
4.4	L'âme;0.0;0.0;0.0;
4.4	Trial;0.0;0.0;0.0;
4.5	L'amour;0.0;0.0;0.0;
4.5	Unity;0.0;0.0;0.0;
4.6	La;0.0;0.0;0.0;
4.6	Platonic;1.0;0.0;-1.0;
4.7	Textual;0.0;0.0;0.0;
4.8	Modern;0.0;0.0;0.0;
40.;0.0;0.0;0.0;
400;0.0;0.0;0.0;
407;0.0;0.0;0.0;
408;-1.0;0.0;1.0;
412;0.0;0.0;0.0;
423;0.0;0.0;0.0;
424/423;1.0;0.0;-1.0;
424/423.[22];0.0;0.0;0.0;
424/423[b];0.0;0.0;0.0;
427;0.0;0.0;0.0;
427-347;0.0;0.0;0.0;
428/427;0.0;0.0;0.0;
429;0.0;0.0;0.0;
43.;0.0;0.0;0.0;
462;0.0;0.0;0.0;
47.;0.0;0.0;0.0;
470–450;0.0;0.0;0.0;
473c-d);0.0;0.0;0.0;
473c-e;0.0;0.0;0.0;
475c);0.0;0.0;0.0;
